date,datetime,shock_1y,shock_5y,isMain,isBroad,isdRRR,isdRevrepo,isdLDR,isdMLF,isMPR,isFX,isTMLF
2015-08-27,2015-08-27 12:00,-0.03,-0.005,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-10-24,2015-10-23 19:17,-0.09,-0.07,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2015-10-27,2015-10-27 12:00,-0.04,-0.06,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-11-07,2015-11-06 19:15,0.06,0.1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
2015-12-12,2015-12-11 20:05,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2016-01-07,2016-01-07 12:00,-0.015,-0.02,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2016-01-11,2016-01-11 12:00,0.04,0.01,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2016-02-06,2016-02-06 14:10,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2016-03-01,2016-02-29 18:00,-0.01,-0.005,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2016-03-03,2016-03-03 12:00,0.005,0.01,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2016-05-07,2016-05-06 19:57,-0.025,-0.075,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
2016-08-06,2016-08-05 19:09,-0.01,-0.005,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
2016-11-09,2016-11-08 19:05,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2017-02-03,2017-02-03 12:00,0.145,0.17,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2017-02-18,2017-02-17 19:44,-0.01,-0.05,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2017-03-16,2017-03-16 12:00,0.12,0.01,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2017-05-13,2017-05-12 19:47,-0.08,-0.09,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2017-08-12,2017-08-11 20:37,-0.015,-0.03,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2017-10-01,2017-09-30 17:00,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2017-11-18,2017-11-17 22:43,-0.01375,-0.00375,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2017-12-14,2017-12-14 12:00,-0.06,-0.05,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2018-02-15,2018-02-14 17:24,0.005,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2018-03-22,2018-03-22 12:00,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2018-04-18,2018-04-17 18:26,-0.1025,-0.16,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018-05-12,2018-05-11 21:09,-0.005,0.005,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2018-06-02,2018-06-01 19:50,-0.0025,0.00625,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2018-06-25,2018-06-24 17:02,-0.015,0.005,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018-08-03,2018-08-03 12:00,-0.08,-0.06,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2018-08-11,2018-08-10 21:35,0.06,0.02,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2018-08-24,2018-08-24 0:00,0.01,0.01,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2018-10-07,2018-10-07 11:49,-0.03,-0.005,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018-11-10,2018-11-09 20:20,0,0.0025,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2018-11-10,2018-11-09 22:15,0,0.0025,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2018-12-20,2018-12-19 19:59,-0.03125,-0.06875,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2019-01-03,2019-01-02 20:57,0.005,-0.01,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019-01-05,2019-01-04 17:20,-0.06,-0.03,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019-02-22,2019-02-21 19:42,0.025,0.02,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2019-05-06,2019-05-06 9:29,-0.045,-0.05,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
